SYSTEMID,SYSTEMNAME,SCHOOLNAME,SCHOOLID,STREET,CITY,STATE,ZIP_CODE,TOTAL_ENROLL,GRADES,SINGLESCORE,PCT_ASIAN,PCT_NATIVE,PCT_BLACK,PCT_HISPANIC,PCT_MULTI,PCT_WHITE,PCT_ED,PCT_SWD,PCT_LEP,CONTENT_MASTERYE,PROGRESSE,CLOSING_GAPE,READINESSE,CCRPISCOREE,THIRD_GRADE_READING,FIFTH_GRADE_READING,CONTENT_MASTERYM,PROGRESSM,CLOSING_GAPM,READINESSM,CCRPISCOREM,EIGHTH_GRADE_READING,CONTENT_MASTERYH,PROGRESSH,CLOSING_GAPH,READINESSH,GRADUATION_RATEH,CCRPISCOREH,ENGLISH_BEGH,ENGLISH_DEVH,ENGLISH_PROFH,ENGLISH_DISTH,MATH_BEGH,MATH_DEVH,MATH_PROFH,MATH_DISTH,SCIENCE_BEGH,SCIENCE_DEVH,SCIENCE_PROFH,SCIENCE_DISTH,SOC_BEGH,SOC_DEVH,SOC_PROFH,SOC_DISTH,COLLEGE_READINESS,ACCELERATED_COURSE_TAKING,FOUR_YEAR_GRADUATION_RATE,ENGLISH_BEGE,ENGLISH_DEVE,ENGLISH_PROFE,ENGLISH_DISTE,MATH_BEGE,MATH_DEVE,MATH_PROFE,MATH_DISTE,SCIENCE_BEGE,SCIENCE_DEVE,SCIENCE_PROFE,SCIENCE_DISTE,SOC_BEGE,SOC_DEVE,SOC_PROFE,SOC_DISTE,ENGLISH_BEGM,ENGLISH_DEVM,ENGLISH_PROFM,ENGLISH_DISTM,MATH_BEGM,MATH_DEVM,MATH_PROFM,MATH_DISTM,SCIENCE_BEGM,SCIENCE_DEVM,SCIENCE_PROFM,SCIENCE_DISTM,SOC_BEGM,SOC_DEVM,SOC_PROFM,SOC_DISTM,COLLEGEENROLLMENT,FINANCIALEFFICIENCY,SCHOOLCLIMATE,MOBILITY,PPE,Percentage of Free & Reduced,SAT Reading and Writing_x,SAT Math_x,SAT Reading and Writing_y,SAT Math_y,SAT Reading and Writing,SAT Math,FULL_ADDRESS,LAT,LON
601,Appling County,APPLING COUNTY HIGH SCHOOL,103,482 Blackshear Hwy,Baxley,GA,31513-6708,1049,"09, 10, 11, 12",75.9,0.8,0.0,23.6,19.3,4.5,51.9,56.6,16.7,7.9,,,,,,,,,,,,,,68.7,75.5,64.6,77.3,97.5,75.9,24.4,42.6,26.7,6.2,13,28.2,39.7,19.1,30.7,27.9,30.3,11.2,20.3,31.1,29.1,19.5,70.3,100,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,7.4,13236.02,0.95,,,508.8,473.8,508.8,473.8,"482 Blackshear Hwy, Baxley, GA 31513-6708",31.7443455,-82.3467606
601,Appling County,APPLING COUNTY ELEMENTARY SCHOOL,177,680 Blackshear Hwy,Baxley,GA,31513-6709,1033,"PK, KK, 01, 02, 03, 04, 05",68.8,0.7,0.0,22.6,24.1,5.8,46.9,72.8,15.5,19.0,70.2,67.4,50.0,83.3,68.8,49.7,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,37.4,33.9,6.1,10.9,31.3,35.9,22,34.1,31.9,29,5.1,,,,,,,,,,,,,,,,,,,,,,3.0,,11.2,15302.94,0.95,,,,,,,"680 Blackshear Hwy, Baxley, GA 31513-6709",31.7596128,-82.3535083
601,Appling County,APPLING COUNTY MIDDLE SCHOOL,195,2997 Blackshear Hwy,Baxley,GA,31513-4303,801,"06, 07, 08",80.0,0.7,0.0,20.6,22.7,2.7,53.2,63.4,19.7,17.2,,,,,,,,68.1,80,100.0,82.6,80.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,35.9,30.9,8.2,12.2,36.9,38.7,12.3,28.7,31.1,30.1,10.1,18.8,28,39.6,13.5,28.02,3.5,,10.1,13150.36,0.95,,,,,,,"2997 Blackshear Hwy, Baxley, GA 31513-4303",31.7333607,-82.3452479
601,Appling County,ALTAMAHA ELEMENTARY SCHOOL,1050,344 Altamaha School Rd,Baxley,GA,31513-2670,354,"PK, KK, 01, 02, 03, 04, 05",68.2,0.0,0.0,7.3,8.8,5.6,78.2,56.3,13.0,4.0,66.6,76.5,31.8,83.4,68.2,49.1,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,41.6,30.7,6.6,13.9,44.9,32.1,9.1,13.7,33.3,39.2,13.7,,,,,,,,,,,,,,,,,,,,,,3.5,,9.6,13813.02,0.95,,,,,,,"344 Altamaha School Rd, Baxley, GA 31513-2670",,
601,Appling County,FOURTH DISTRICT ELEMENTARY SCHOOL,5050,13396 Blackshear Hwy,Surrency,GA,31563-3114,143,"PK, KK, 01, 02, 03, 04, 05",54.1,0.0,0.0,5.6,14.0,13.3,67.1,57.0,17.5,10.5,64.8,52.4,0.0,81.7,54.1,55.6,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,22,37.3,8.5,20.3,32.2,33.9,13.6,31.3,31.3,25,12.5,,,,,,,,,,,,,,,,,,,,,,2.0,,17.2,16857.47,0.95,,,,,,,"13396 Blackshear Hwy, Surrency, GA 31563-3114",,
602,Atkinson County,ATKINSON COUNTY HIGH SCHOOL,103,145 Rebel Ln,Pearson,GA,31642-5535,460,"09, 10, 11, 12",71.5,0.2,0.0,16.3,45.7,1.7,36.1,62.2,12.6,10.9,,,,,,,,,,,,,,70,74.5,5.9,87.7,95.7,71.5,15.2,57.1,23.8,3.8,3.7,37,43.5,15.7,19.1,38.1,31.4,11.4,15.6,41.3,33,10.1,84.5,100,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,9.4,15169.99,0.8,,,536,497,536,497,"145 Rebel Ln, Pearson, GA 31642-5535",,
602,Atkinson County,ATKINSON COUNTY MIDDLE SCHOOL,111,145 Rebel Ln,Pearson,GA,31642-5535,358,"06, 07, 08",73.8,0.6,0.0,13.4,42.5,2.0,41.6,71.4,14.0,22.1,,,,,,,,65,83,55.4,84.6,73.8,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,32.3,35.5,10.9,13.7,37.4,35.5,13.4,52.7,30.4,14.3,2.7,23.2,40.2,30.4,6.3,40.18,4.0,,13.7,11098.57,0.86,,,,,,,"145 Rebel Ln, Pearson, GA 31642-5535",,
602,Atkinson County,WILLACOOCHEE ELEMENTARY SCHOOL,187,430 Vickers St S,Willacoochee,GA,31650-2313,158,"PK, KK, 01, 02, 03, 04, 05",52.1,0.0,0.0,25.3,32.3,3.8,38.6,80.0,7.0,26.6,58.8,52.6,0.0,80.4,52.1,55.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44.8,20.7,3.5,8.6,43.1,32.8,15.5,47.6,38.1,14.3,0,,,,,,,,,,,,,,,,,,,,,,2.0,,27.6,19027.89,0.9,,,,,,,"430 Vickers St S, Willacoochee, GA 31650-2313",31.3382375,-83.0509908
602,Atkinson County,PEARSON ELEMENTARY SCHOOL,190,563 King St N,Pearson,GA,31642-7444,609,"PK, KK, 01, 02, 03, 04, 05",65.6,0.7,0.0,10.2,47.6,1.0,40.6,73.0,12.8,26.9,69.3,73.9,7.9,88.7,65.6,43.8,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,38.6,29.1,11.6,10.9,45.7,32.3,11.2,20.9,31.4,31.4,16.3,,,,,,,,,,,,,,,,,,,,,,3.5,,13.0,13494.89,0.86,,,,,,,"563 King St N, Pearson, GA 31642-7444",31.3039083,-82.8539447
603,Bacon County,BACON COUNTY PRIMARY SCHOOL,102,251 Cumberland Rd,Alma,GA,31510-1680,495,"PK, KK, 01, 02",71.1,0.6,0.4,24.0,21.6,6.1,47.3,72.4,20.2,15.8,81.1,82.3,35.0,86.8,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,33.8,33.1,13.7,3.6,31.7,42.5,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,10.1,15932.07,0.95,,,,,,,"251 Cumberland Rd, Alma, GA 31510-1680",31.5575566,-82.4738848
